S_NO,NAME_OF_THE_VESSEL,QUANTITY,DISCHARGE_COMPLETED,PORT,pono,SUPPLIER,,A,B,C
1,M.V.CORBITA,24024,24.03.14,TUTICORIN ,91,m/s_knowledge_infras,,24,3,14
2,M.V.ACS DIAMOND ,52769,28.03.14,TUTICORIN ,91,m/s_knowledge_infras,,28,3,14
3,M.V.SKUA,51000,07.04.14,TUTICORIN ,91,m/s_knowledge_infras,,7,4,14
4,M.V.LUZREN,49755,05.05.14,TUTICORIN ,91,m/s_knowledge_infras,,5,5,14
5,M.V.SLETTNES,51000,15.05.14,TUTICORIN ,91,m/s_knowledge_infras,,15,5,14
6,M.V.TEN YOSHI MARU,52999,01.06.14,TUTICORIN ,91,m/s_knowledge_infras,,1,6,14
7,M.V.SEPHORA ,51000,11.06.14,TUTICORIN ,91,m/s_knowledge_infras,,11,6,14
8,M.V.BULK TITAN ,53024,22.06.14,TUTICORIN ,91,m/s_knowledge_infras,,22,6,14
9,M.V.GENCO PYRENESS  ,51000,10.07.14,TUTICORIN ,91,m/s_knowledge_infras,,10,7,14
10,M.V.PARNON,51700,12.08.14,TUTICORIN ,91,m/s_knowledge_infras,,12,8,14
11,M.V.MARE TRADER ,51700,30.07.14,TUTICORIN ,91,m/s_knowledge_infras,,30,7,14
12,M.V.UBC LIMAS ,52750,28.08.14,TUTICORIN ,91,m/s_knowledge_infras,,28,8,14
13,M.V.ANEMOS,53000,08.09.14,TUTICORIN ,91,m/s_knowledge_infras,,8,9,14
14,M.V.PYTHAGORIS,29250,05.10.14,TUTICORIN ,91,m/s_knowledge_infras,,5,10,14
1,M.V. AGIOS EFRAIM,61397,10.10.14,ENNORE ,97,m/s_adani_global_pte,,10,10,14
2,M.V. NYON,68044,17.10.14,ENNORE ,97,m/s_adani_global_pte,,17,10,14
3,M.V. FD GENNARO AURI,66797,20.10.14,ENNORE ,97,m/s_adani_global_pte,,20,10,14
4,M.V. ABYO GWYNETH,73800,22.10.14,ENNORE ,97,m/s_adani_global_pte,,22,10,14
5,M.V YUAN HUI HAI,67225,28.10.14,ENNORE ,97,m/s_adani_global_pte,,28,10,14
6,M.V CAPE,68200,02.11.14,ENNORE ,97,m/s_adani_global_pte,,2,11,14
7,M.V OGNA,68959,09.11.14,ENNORE ,97,m/s_adani_global_pte,,9,11,14
8,M.V BANZAI,68892,15.11.14,ENNORE ,97,m/s_adani_global_pte,,15,11,14
9,M.V BAHIA 1,73630,19.11.14,ENNORE ,97,m/s_adani_global_pte,,19,11,14
10,M.V AARTI PREM,66336,20.11.14,ENNORE ,97,m/s_adani_global_pte,,20,11,14
11,M.V SANTA CRUZ,71035,21.11.14,ENNORE ,97,m/s_adani_global_pte,,21,11,14
12,M.V OLYMPIC GLORY,72700,28.11.14,ENNORE ,97,m/s_adani_global_pte,,28,11,14
13,M.V SAINTY VITALITY,72400,02.12.14,ENNORE ,97,m/s_adani_global_pte,,2,12,14
14,M.V PROTEUS,68470,02.12.14,ENNORE ,97,m/s_adani_global_pte,,2,12,14
